Year,Job_Title,Country,Company_Type,Experience_Level,Salary_USD,Remote,Top_Skill
2022,Data Scientist,Germany,Startup,Entry,32058,Yes,NLP
2025,Data Scientist,USA,Startup,Entry,45821,Yes,NLP
2023,NLP Engineer,India,Startup,Mid,31292,Yes,SQL
2025,AI Engineer,Germany,Startup,Entry,46264,No,Python
2024,AI Engineer,Canada,Big Tech,Entry,57624,No,Python
2026,AI Engineer,Canada,Big Tech,Senior,143241,Yes,SQL
2024,Data Scientist,UK,Startup,Mid,98685,No,SQL
2024,AI Engineer,UK,Freelance,Mid,109912,Yes,NLP
2023,ML Engineer,India,Big Tech,Mid,29756,No,Python
2023,Data Scientist,Germany,Big Tech,Mid,81208,No,SQL
2025,Data Analyst,India,Startup,Mid,30464,No,NLP
2025,NLP Engineer,India,Big Tech,Entry,11626,Yes,Python
2022,ML Engineer,UK,Freelance,Mid,70579,No,NLP
2025,NLP Engineer,Germany,Freelance,Entry,30257,No,TensorFlow
2022,AI Engineer,India,Startup,Mid,42929,No,NLP
2023,NLP Engineer,USA,Freelance,Mid,129881,Yes,TensorFlow
2023,NLP Engineer,Canada,Startup,Senior,139467,Yes,TensorFlow
2024,ML Engineer,USA,Startup,Senior,218355,No,Python
2026,ML Engineer,UK,Freelance,Mid,77903,No,SQL
2026,ML Engineer,Germany,Big Tech,Senior,196852,No,Python
2023,ML Engineer,USA,Big Tech,Entry,76121,Yes,Python
2022,Data Scientist,UK,Startup,Entry,45819,Yes,TensorFlow
2025,ML Engineer,Canada,Startup,Senior,173622,Yes,PyTorch
2025,ML Engineer,USA,Startup,Senior,192086,No,PyTorch
2022,Data Scientist,USA,Big Tech,Senior,229411,Yes,SQL
2023,ML Engineer,Canada,Big Tech,Entry,54795,No,SQL
2022,Data Analyst,Canada,Startup,Entry,63741,Yes,SQL
2023,Data Analyst,India,Big Tech,Entry,18512,Yes,PyTorch
2022,Data Analyst,Germany,Big Tech,Mid,116216,No,SQL
2023,AI Engineer,UK,Startup,Senior,185920,No,Python
2022,NLP Engineer,India,Freelance,Senior,61312,Yes,SQL
2022,NLP Engineer,USA,Freelance,Entry,60399,Yes,NLP
2026,Data Scientist,Canada,Startup,Mid,111598,No,TensorFlow
2023,AI Engineer,UK,Big Tech,Mid,114420,No,PyTorch
2024,Data Scientist,USA,Big Tech,Senior,162241,Yes,NLP
2024,ML Engineer,Germany,Startup,Entry,48638,No,NLP
2024,NLP Engineer,Canada,Startup,Senior,187996,Yes,SQL
2024,Data Scientist,USA,Freelance,Senior,180004,Yes,TensorFlow
2023,AI Engineer,Canada,Big Tech,Mid,75955,No,TensorFlow
2022,Data Scientist,Germany,Startup,Senior,185434,No,NLP
2025,NLP Engineer,USA,Startup,Entry,38698,No,NLP
2026,ML Engineer,India,Startup,Entry,16080,Yes,TensorFlow
2023,ML Engineer,USA,Big Tech,Senior,219852,Yes,SQL
2023,ML Engineer,India,Startup,Entry,16708,Yes,TensorFlow
2023,Data Scientist,India,Startup,Mid,29231,No,TensorFlow
2024,ML Engineer,UK,Startup,Senior,155663,No,Python
2024,AI Engineer,Canada,Big Tech,Senior,140079,Yes,TensorFlow
2023,NLP Engineer,Germany,Startup,Entry,65005,No,PyTorch
2026,NLP Engineer,USA,Big Tech,Senior,159780,No,Python
2026,NLP Engineer,UK,Big Tech,Mid,113884,No,Python
2024,NLP Engineer,Germany,Freelance,Mid,95008,No,NLP
